Invoice ID,Rama,Distrito,Cliente,Genero,Línea de Producto,Precio unitario,Cantidad,Precio Base,IGV,Total,Fecha,Hora,Método de Pago,Rating
101-13-3644,C,San Isidro,Normal,Femenino,Accesorios electrónicos,59.7,4,238.8,42.98,281.78,3/07/2021,19:13,Efectivo,9
101-16-8769,C,Surquillo,Miembro,Masculino,Accesorios de moda,57.79,3,173.37,31.21,204.58,9/09/2023,15:52,Billetera digital,8.2
101-17-8249,A,San Isidro,Miembro,Masculino,Accesorios electrónicos,81.27,10,812.7,146.29,958.99,5/10/2023,09:00,Tarjeta bancaria,8.5
101-20-2303,B,San Borja,Normal,Femenino,Comidas y bebidas,55.45,8,443.6,79.85,523.45,14/11/2023,11:22,Billetera digital,4
101-21-1113,B,San Isidro,Normal,Masculino,Ropa y calzados,61.26,6,367.56,66.16,433.72,22/07/2021,11:01,Efectivo,5.9
101-21-4895,D,Miraflores,Normal,Masculino,Comidas y bebidas,56.33,8,450.64,81.12,531.76,16/11/2023,16:03,Tarjeta bancaria,9.1
101-26-2067,A,San Borja,Normal,Masculino,Comidas y bebidas,29.88,1,29.88,5.38,35.26,10/09/2023,22:32,Efectivo,6
101-28-3083,A,Surquillo,Miembro,Femenino,Comidas y bebidas,66.24,9,596.16,107.31,703.47,4/02/2023,21:06,Tarjeta bancaria,8.2
101-32-7302,C,San Borja,Normal,Masculino,Ropa y calzados,56.25,4,225,40.5,265.5,17/12/2021,12:33,Tarjeta bancaria,7.6
101-39-9025,A,Surquillo,Normal,Femenino,Salud y belleza,13.92,1,13.92,2.51,16.43,18/06/2021,11:44,Efectivo,9.4
101-43-4351,A,San Isidro,Normal,Masculino,Comidas y bebidas,42.76,5,213.8,38.48,252.28,6/12/2021,16:43,Efectivo,7
101-43-9887,B,Surco,Normal,Femenino,Ropa y calzados,97.11,3,291.33,52.44,343.77,21/10/2023,10:54,Billetera digital,9.3
101-44-8930,B,San Borja,Normal,Femenino,Hogar y estilo de vida,87.06,4,348.24,62.68,410.92,29/12/2023,14:13,Tarjeta bancaria,4.5
101-49-6047,A,Surco,Miembro,Masculino,Hogar y estilo de vida,54.38,6,326.28,58.73,385.01,11/10/2022,14:30,Billetera digital,5.7
101-50-6530,A,San Borja,Miembro,Masculino,Ropa y calzados,49.59,5,247.95,44.63,292.58,23/10/2022,18:14,Efectivo,9.5
101-51-8288,C,Surco,Normal,Femenino,Deportes y viajes,46.71,6,280.26,50.45,330.71,20/10/2023,21:48,Tarjeta bancaria,6.1
101-55-5236,A,San Isidro,Miembro,Masculino,Deportes y viajes,56.79,9,511.11,92,603.11,15/11/2023,16:31,Efectivo,9.4
101-62-9968,B,San Borja,Normal,Femenino,Accesorios de moda,43.56,5,217.8,39.2,257,8/01/2022,09:51,Efectivo,9.2
101-64-6193,C,Surco,Normal,Femenino,Accesorios electrónicos,67.97,3,203.91,36.7,240.61,11/12/2023,21:46,Efectivo,5.1
101-66-2541,C,Surco,Miembro,Femenino,Ropa y calzados,94.31,6,565.86,101.85,667.71,4/12/2023,15:04,Billetera digital,9.1
101-67-4396,B,San Isidro,Miembro,Femenino,Hogar y estilo de vida,46.72,9,420.48,75.69,496.17,11/10/2023,15:12,Billetera digital,9.3
101-71-2751,D,San Borja,Miembro,Masculino,Hogar y estilo de vida,85.06,7,595.42,107.18,702.6,26/11/2023,15:13,Efectivo,4.6
101-71-7712,A,Surco,Miembro,Masculino,Juguetes y arte,74.78,7,523.46,94.22,617.68,4/07/2022,10:57,Efectivo,9.1
101-76-2524,D,Surquillo,Normal,Masculino,Deportes y viajes,50.65,3,151.95,27.35,179.3,30/10/2021,20:27,Billetera digital,5.4
101-78-4917,A,San Isidro,Miembro,Masculino,Deportes y viajes,73.24,8,585.92,105.47,691.39,25/12/2022,13:34,Billetera digital,8.3
101-78-7995,A,San Isidro,Normal,Femenino,Hogar y estilo de vida,52.61,5,263.05,47.35,310.4,9/11/2023,14:10,Tarjeta bancaria,8.7
101-85-4041,D,San Borja,Miembro,Masculino,Accesorios electrónicos,25.7,7,179.9,32.38,212.28,13/01/2021,18:53,Efectivo,9.8
101-88-5912,C,Surco,Miembro,Femenino,Accesorios de moda,35.82,7,250.74,45.13,295.87,8/11/2023,12:57,Efectivo,8.7
101-95-5770,B,Surquillo,Normal,Femenino,Juguetes y arte,87.76,4,351.04,63.19,414.23,27/12/2023,15:39,Tarjeta bancaria,7.6
101-96-4672,A,Miraflores,Miembro,Masculino,Ropa y calzados,72.1,10,721,129.78,850.78,11/12/2022,22:03,Billetera digital,5.5
101-98-1839,B,San Isidro,Normal,Masculino,Deportes y viajes,46.99,2,93.98,16.92,110.9,30/10/2022,19:23,Billetera digital,4.9
102-13-4560,D,San Borja,Normal,Femenino,Comidas y bebidas,18.93,6,113.58,20.44,134.02,8/06/2021,15:55,Efectivo,6.1
102-21-7412,A,Surco,Miembro,Masculino,Accesorios de moda,75.2,4,300.8,54.14,354.94,25/12/2022,21:41,Billetera digital,4.7
102-25-2702,D,Surquillo,Miembro,Masculino,Deportes y viajes,50.33,3,150.99,27.18,178.17,1/11/2022,18:46,Tarjeta bancaria,5.2
102-32-3340,C,Miraflores,Miembro,Masculino,Deportes y viajes,57.94,8,463.52,83.43,546.95,24/11/2022,10:00,Billetera digital,9.9
102-42-9160,A,San Isidro,Normal,Masculino,Juguetes y arte,84.01,1,84.01,15.12,99.13,8/04/2022,22:47,Efectivo,4.6
102-47-3721,B,Surco,Miembro,Masculino,Accesorios electrónicos,46.68,7,326.76,58.82,385.58,8/10/2022,16:04,Efectivo,9.6
102-50-1490,A,Miraflores,Miembro,Femenino,Ropa y calzados,83.4,4,333.6,60.05,393.65,18/12/2022,21:15,Billetera digital,8.3
102-60-5726,B,San Borja,Miembro,Masculino,Comidas y bebidas,93.15,5,465.75,83.84,549.59,15/12/2023,11:41,Tarjeta bancaria,4.8
102-60-7890,D,San Borja,Normal,Femenino,Salud y belleza,67.88,1,67.88,12.22,80.1,17/01/2022,10:32,Efectivo,4.6
102-63-9443,A,Miraflores,Miembro,Masculino,Ropa y calzados,89.81,10,898.1,161.66,1059.76,18/12/2022,15:18,Tarjeta bancaria,7.3
102-65-8438,B,Surco,Normal,Femenino,Ropa y calzados,80.72,5,403.6,72.65,476.25,7/07/2021,18:24,Efectivo,7.4
102-66-5417,A,San Isidro,Normal,Femenino,Juguetes y arte,26.65,3,79.95,14.39,94.34,1/09/2022,14:48,Billetera digital,10
102-67-5314,D,San Borja,Normal,Femenino,Accesorios de moda,30.8,2,61.6,11.09,72.69,29/12/2023,19:36,Billetera digital,9.5
102-69-2577,B,San Borja,Normal,Femenino,Salud y belleza,16.46,3,49.38,8.89,58.27,22/12/2023,09:40,Tarjeta bancaria,9.4
102-83-8328,A,Surco,Miembro,Masculino,Deportes y viajes,50.55,4,202.2,36.4,238.6,18/02/2022,11:37,Billetera digital,5.9
102-85-8512,A,Surco,Miembro,Femenino,Hogar y estilo de vida,55.98,5,279.9,50.38,330.28,16/07/2021,15:43,Tarjeta bancaria,6
102-86-5327,C,San Isidro,Normal,Masculino,Accesorios electrónicos,66.35,9,597.15,107.49,704.64,12/11/2021,22:42,Tarjeta bancaria,5.9
102-89-4827,C,San Isidro,Normal,Femenino,Hogar y estilo de vida,27.5,3,82.5,14.85,97.35,2/06/2023,18:51,Billetera digital,7.5
102-89-9142,C,Surco,Normal,Femenino,Comidas y bebidas,25.44,7,178.08,32.05,210.13,10/07/2023,22:40,Tarjeta bancaria,4.1
102-91-1251,A,San Borja,Normal,Femenino,Accesorios de moda,88.28,1,88.28,15.89,104.17,19/11/2022,13:34,Efectivo,8.7
102-92-4248,B,San Borja,Miembro,Masculino,Comidas y bebidas,20.91,6,125.46,22.58,148.04,1/09/2023,12:52,Tarjeta bancaria,8.4
102-95-5542,C,Miraflores,Miembro,Masculino,Ropa y calzados,77.96,8,623.68,112.26,735.94,29/12/2022,12:18,Tarjeta bancaria,4.4
103-10-3229,C,San Isidro,Miembro,Masculino,Ropa y calzados,20.29,8,162.32,29.22,191.54,27/08/2023,20:58,Billetera digital,4.5
103-14-7211,D,Surco,Miembro,Masculino,Deportes y viajes,65.99,9,593.91,106.9,700.81,30/12/2023,13:54,Tarjeta bancaria,7
103-24-3763,A,Surco,Normal,Femenino,Hogar y estilo de vida,29.72,10,297.2,53.5,350.7,11/09/2023,11:31,Efectivo,8.5
103-25-4482,A,San Isidro,Miembro,Masculino,Hogar y estilo de vida,87.45,8,699.6,125.93,825.53,13/10/2021,08:27,Efectivo,4
103-32-6473,A,Miraflores,Normal,Masculino,Juguetes y arte,32.31,8,258.48,46.53,305.01,21/03/2022,16:16,Tarjeta bancaria,6.7
103-34-9398,B,Surco,Normal,Masculino,Accesorios electrónicos,49.9,2,99.8,17.96,117.76,4/09/2023,15:04,Tarjeta bancaria,5.6
103-35-6387,A,Surco,Normal,Masculino,Comidas y bebidas,57.67,1,57.67,10.38,68.05,9/07/2022,14:21,Efectivo,6.3
103-54-8203,A,Surco,Miembro,Masculino,Accesorios de moda,35.91,10,359.1,64.64,423.74,5/11/2021,18:53,Tarjeta bancaria,7.3
103-55-4736,A,Surquillo,Normal,Femenino,Salud y belleza,49.3,8,394.4,70.99,465.39,6/10/2021,21:57,Efectivo,7.9
103-57-2714,C,Miraflores,Miembro,Masculino,Accesorios electrónicos,86.25,7,603.75,108.68,712.43,25/10/2023,09:58,Billetera digital,7
103-57-6833,A,Surquillo,Normal,Masculino,Juguetes y arte,66.8,4,267.2,48.1,315.3,26/11/2023,19:17,Efectivo,9
103-60-3683,A,Miraflores,Normal,Femenino,Hogar y estilo de vida,85.09,8,680.72,122.53,803.25,30/12/2022,12:06,Tarjeta bancaria,7.8
103-61-1049,A,Surquillo,Normal,Masculino,Accesorios de moda,42.93,9,386.37,69.55,455.92,13/09/2021,09:58,Efectivo,9.3
103-62-7266,B,San Borja,Normal,Masculino,Accesorios electrónicos,68.19,2,136.38,24.55,160.93,15/09/2023,09:18,Tarjeta bancaria,7.8
103-64-4627,A,San Borja,Normal,Femenino,Salud y belleza,30.34,3,91.02,16.38,107.4,2/08/2023,22:17,Tarjeta bancaria,4
103-70-3242,C,Miraflores,Miembro,Femenino,Hogar y estilo de vida,77.36,7,541.52,97.47,638.99,14/11/2021,09:42,Billetera digital,7.3
103-79-2390,A,Surquillo,Normal,Femenino,Accesorios electrónicos,16.72,1,16.72,3.01,19.73,3/05/2021,19:22,Efectivo,9.5
103-82-9848,A,Miraflores,Miembro,Femenino,Ropa y calzados,61.77,1,61.77,11.12,72.89,23/06/2021,21:49,Billetera digital,4.1
103-83-3518,B,San Isidro,Normal,Femenino,Accesorios electrónicos,86.55,7,605.85,109.05,714.9,12/10/2023,10:07,Tarjeta bancaria,8.8
103-83-3986,C,San Isidro,Normal,Femenino,Deportes y viajes,83.49,3,250.47,45.08,295.55,21/09/2022,15:39,Tarjeta bancaria,8.4
103-86-2286,C,San Isidro,Miembro,Femenino,Hogar y estilo de vida,50.61,4,202.44,36.44,238.88,8/12/2023,15:37,Billetera digital,4.6
103-87-2923,D,Surco,Miembro,Masculino,Comidas y bebidas,43.54,3,130.62,23.51,154.13,3/11/2022,15:37,Tarjeta bancaria,4.9
103-88-5666,A,Surco,Normal,Femenino,Comidas y bebidas,47.12,6,282.72,50.89,333.61,26/11/2022,13:26,Efectivo,4.2
103-90-9321,C,San Borja,Normal,Femenino,Accesorios de moda,76.44,4,305.76,55.04,360.8,1/10/2023,15:27,Efectivo,6.4
103-93-6771,D,Surco,Normal,Masculino,Salud y belleza,74.19,2,148.38,26.71,175.09,2/10/2021,16:55,Billetera digital,7.7
103-95-4403,B,Surco,Normal,Femenino,Accesorios de moda,48.55,3,145.65,26.22,171.87,9/12/2022,15:36,Tarjeta bancaria,5.4
104-11-2557,C,Surco,Miembro,Femenino,Hogar y estilo de vida,31.85,10,318.5,57.33,375.83,20/02/2021,22:58,Efectivo,5.5
104-14-3552,B,San Isidro,Miembro,Femenino,Accesorios electrónicos,18.62,7,130.34,23.46,153.8,19/12/2023,19:35,Efectivo,8.8
104-18-5231,D,Surquillo,Normal,Femenino,Hogar y estilo de vida,72.27,3,216.81,39.03,255.84,19/12/2022,17:01,Efectivo,8.5
104-24-3946,A,Surquillo,Miembro,Femenino,Juguetes y arte,57.61,7,403.27,72.59,475.86,30/06/2021,21:43,Efectivo,5
104-26-3310,A,San Borja,Normal,Masculino,Accesorios electrónicos,21.26,7,148.82,26.79,175.61,3/07/2021,22:02,Tarjeta bancaria,4.5
104-30-8156,B,Surquillo,Miembro,Masculino,Accesorios de moda,70.07,5,350.35,63.06,413.41,16/11/2022,15:02,Tarjeta bancaria,4.3
104-31-4157,B,San Borja,Miembro,Masculino,Accesorios electrónicos,84.4,4,337.6,60.77,398.37,10/11/2023,16:38,Tarjeta bancaria,7.3
104-38-6507,D,San Borja,Normal,Masculino,Accesorios electrónicos,13.7,8,109.6,19.73,129.33,1/07/2022,10:44,Billetera digital,9.8
104-40-5662,C,Surquillo,Normal,Femenino,Comidas y bebidas,12.76,1,12.76,2.3,15.06,1/11/2021,18:16,Efectivo,4.6
104-40-9013,C,San Borja,Miembro,Masculino,Comidas y bebidas,52.15,5,260.75,46.94,307.69,3/08/2022,14:35,Tarjeta bancaria,8.4
104-41-1421,C,Surco,Normal,Femenino,Accesorios de moda,72.12,7,504.84,90.87,595.71,5/08/2021,20:57,Billetera digital,6.7
104-42-6342,A,Surco,Miembro,Masculino,Juguetes y arte,49.39,10,493.9,88.9,582.8,14/07/2021,21:45,Tarjeta bancaria,5.3
104-44-3823,A,Surco,Normal,Femenino,Accesorios de moda,40.06,1,40.06,7.21,47.27,11/07/2022,08:44,Efectivo,5.8
104-46-4364,D,Miraflores,Miembro,Femenino,Accesorios electrónicos,59.52,8,476.16,85.71,561.87,19/04/2023,18:58,Tarjeta bancaria,8.5
104-52-1937,C,Miraflores,Normal,Femenino,Accesorios de moda,23.94,7,167.58,30.16,197.74,29/07/2023,19:34,Efectivo,5.6
104-52-3624,D,Miraflores,Normal,Masculino,Hogar y estilo de vida,78.19,7,547.33,98.52,645.85,25/11/2023,22:48,Billetera digital,6.1
104-52-6730,A,San Borja,Normal,Masculino,Deportes y viajes,15.97,6,95.82,17.25,113.07,26/07/2022,12:58,Tarjeta bancaria,5.1
104-59-3839,C,Surquillo,Normal,Masculino,Comidas y bebidas,27.32,8,218.56,39.34,257.9,17/07/2023,13:49,Efectivo,6.4
104-60-6196,B,San Borja,Normal,Masculino,Deportes y viajes,76.07,4,304.28,54.77,359.05,16/09/2022,14:04,Efectivo,5.3
104-66-4745,A,San Borja,Miembro,Masculino,Juguetes y arte,88.32,3,264.96,47.69,312.65,12/12/2023,12:18,Tarjeta bancaria,9.6
104-67-3568,C,Miraflores,Miembro,Femenino,Hogar y estilo de vida,95.67,6,574.02,103.32,677.34,23/12/2023,12:23,Billetera digital,9.6
104-68-7123,A,Surquillo,Normal,Femenino,Deportes y viajes,29.86,2,59.72,10.75,70.47,17/09/2022,20:17,Billetera digital,7.9
104-70-2427,C,San Isidro,Normal,Femenino,Deportes y viajes,13.48,10,134.8,24.26,159.06,17/12/2023,14:42,Tarjeta bancaria,8.3
104-75-7728,C,San Borja,Miembro,Masculino,Accesorios electrónicos,72.2,5,361,64.98,425.98,26/06/2021,12:34,Billetera digital,10
104-84-3407,C,San Borja,Miembro,Masculino,Deportes y viajes,24.46,6,146.76,26.42,173.18,30/09/2021,15:28,Efectivo,8.4
104-88-5645,C,San Borja,Normal,Femenino,Accesorios de moda,49.96,4,199.84,35.97,235.81,2/06/2021,19:02,Tarjeta bancaria,6.5
104-88-6755,C,San Isidro,Normal,Masculino,Deportes y viajes,83.79,3,251.37,45.25,296.62,30/12/2023,17:39,Tarjeta bancaria,9.3
104-89-4532,B,San Borja,Normal,Femenino,Accesorios de moda,49.08,1,49.08,8.83,57.91,12/03/2022,17:45,Efectivo,4.8
104-93-6344,C,San Isidro,Normal,Masculino,Comidas y bebidas,37.73,2,75.46,13.58,89.04,8/01/2021,21:56,Efectivo,6.3
104-96-2361,C,San Borja,Miembro,Femenino,Juguetes y arte,62.04,6,372.24,67,439.24,17/11/2021,13:31,Efectivo,8.3
104-96-3101,D,Miraflores,Miembro,Femenino,Deportes y viajes,76.07,8,608.56,109.54,718.1,2/09/2021,09:06,Billetera digital,8.9
105-10-8300,D,Miraflores,Miembro,Femenino,Accesorios de moda,60.7,5,303.5,54.63,358.13,19/11/2022,17:27,Billetera digital,6.7
105-17-1380,A,Surquillo,Normal,Masculino,Comidas y bebidas,33.27,2,66.54,11.98,78.52,25/07/2023,15:19,Tarjeta bancaria,4.2
105-23-4379,A,Miraflores,Miembro,Masculino,Deportes y viajes,79.43,10,794.3,142.97,937.27,20/12/2021,16:08,Tarjeta bancaria,6.4
105-28-5476,B,Surco,Miembro,Masculino,Salud y belleza,84.31,3,252.93,45.53,298.46,20/11/2022,10:55,Billetera digital,8.1
105-33-3478,A,San Borja,Miembro,Femenino,Deportes y viajes,82.16,6,492.96,88.73,581.69,2/11/2021,10:23,Efectivo,5.1
105-37-5662,C,Surco,Miembro,Masculino,Comidas y bebidas,35.63,6,213.78,38.48,252.26,3/12/2022,19:49,Tarjeta bancaria,8.6
105-38-8616,A,San Borja,Normal,Masculino,Ropa y calzados,52.26,10,522.6,94.07,616.67,28/12/2021,11:41,Billetera digital,6.6
105-40-9419,C,Miraflores,Miembro,Femenino,Ropa y calzados,28.49,4,113.96,20.51,134.47,23/12/2022,09:54,Billetera digital,6.2
105-46-3046,D,San Isidro,Normal,Femenino,Comidas y bebidas,24.6,5,123,22.14,145.14,11/07/2021,15:44,Efectivo,7.4
105-53-2241,A,Surco,Miembro,Masculino,Accesorios electrónicos,11.99,8,95.92,17.27,113.19,28/06/2022,11:03,Billetera digital,8.2
105-54-5257,B,Miraflores,Miembro,Femenino,Ropa y calzados,96.74,9,870.66,156.72,1027.38,6/11/2023,19:50,Tarjeta bancaria,5.9
105-54-9523,B,Surco,Normal,Femenino,Hogar y estilo de vida,21.3,1,21.3,3.83,25.13,18/06/2021,09:43,Efectivo,7.2
105-55-5448,A,San Borja,Normal,Femenino,Hogar y estilo de vida,55.75,7,390.25,70.25,460.5,13/01/2021,09:57,Efectivo,6.9
105-56-2913,A,San Isidro,Normal,Femenino,Accesorios electrónicos,12.68,5,63.4,11.41,74.81,23/08/2022,19:47,Tarjeta bancaria,7.2
105-70-7893,B,Surquillo,Normal,Femenino,Hogar y estilo de vida,51.92,5,259.6,46.73,306.33,12/10/2022,12:43,Efectivo,9.4
105-73-2900,D,Miraflores,Miembro,Femenino,Hogar y estilo de vida,22.56,8,180.48,32.49,212.97,28/03/2022,16:10,Tarjeta bancaria,9
105-73-9488,A,Miraflores,Normal,Femenino,Salud y belleza,57.85,4,231.4,41.65,273.05,18/06/2021,12:22,Billetera digital,6.3
105-76-8032,A,Surco,Miembro,Femenino,Accesorios de moda,49.36,7,345.52,62.19,407.71,15/02/2022,15:47,Tarjeta bancaria,8.1
105-87-6648,D,Surco,Normal,Femenino,Comidas y bebidas,33.84,9,304.56,54.82,359.38,7/05/2021,16:10,Efectivo,4.2
105-89-2478,B,San Borja,Normal,Masculino,Deportes y viajes,27.37,8,218.96,39.41,258.37,31/10/2022,20:02,Tarjeta bancaria,4.7
105-92-5619,B,Miraflores,Normal,Femenino,Hogar y estilo de vida,64.66,8,517.28,93.11,610.39,16/12/2022,17:45,Billetera digital,9.5
105-92-7441,C,Miraflores,Normal,Masculino,Ropa y calzados,95.91,9,863.19,155.37,1018.56,22/12/2023,22:15,Tarjeta bancaria,6.4
105-93-8303,B,Miraflores,Miembro,Masculino,Accesorios electrónicos,39.02,10,390.2,70.24,460.44,3/12/2023,19:38,Tarjeta bancaria,9.3
105-96-3717,A,San Borja,Normal,Masculino,Accesorios electrónicos,19.96,2,39.92,7.19,47.11,19/01/2022,17:03,Efectivo,9.9
106-10-2554,A,Miraflores,Normal,Femenino,Accesorios de moda,27.87,2,55.74,10.03,65.77,30/07/2023,14:40,Billetera digital,7
106-11-1131,A,Miraflores,Normal,Masculino,Hogar y estilo de vida,43.51,7,304.57,54.82,359.39,8/02/2022,20:19,Tarjeta bancaria,4.6
106-13-4099,D,San Borja,Normal,Masculino,Deportes y viajes,44.16,2,88.32,15.9,104.22,28/01/2022,18:20,Tarjeta bancaria,7.3
106-14-6895,B,San Borja,Miembro,Masculino,Deportes y viajes,48.53,6,291.18,52.41,343.59,28/11/2023,22:32,Efectivo,10
106-18-4769,B,Surco,Normal,Masculino,Deportes y viajes,82.44,1,82.44,14.84,97.28,24/07/2023,22:57,Billetera digital,9
106-20-9085,B,San Isidro,Normal,Masculino,Salud y belleza,34.26,7,239.82,43.17,282.99,31/05/2022,20:21,Billetera digital,8.8
106-22-9491,A,San Isidro,Miembro,Masculino,Accesorios de moda,80.13,6,480.78,86.54,567.32,17/05/2021,18:10,Tarjeta bancaria,6
106-24-9083,D,Surco,Normal,Femenino,Hogar y estilo de vida,50.26,8,402.08,72.37,474.45,13/06/2021,22:41,Efectivo,7.4
106-31-8614,B,San Isidro,Miembro,Femenino,Deportes y viajes,66.7,5,333.5,60.03,393.53,24/07/2021,15:14,Tarjeta bancaria,7.8
106-32-4802,A,San Isidro,Miembro,Masculino,Hogar y estilo de vida,83.01,9,747.09,134.48,881.57,19/09/2021,19:39,Tarjeta bancaria,5.2
106-40-2091,B,Surquillo,Normal,Femenino,Accesorios de moda,68.98,2,137.96,24.83,162.79,16/03/2021,09:09,Efectivo,5.3
106-40-5869,B,San Borja,Normal,Masculino,Deportes y viajes,67.68,7,473.76,85.28,559.04,3/10/2023,12:47,Tarjeta bancaria,6.6
106-41-8483,B,San Isidro,Miembro,Masculino,Comidas y bebidas,70.29,10,702.9,126.52,829.42,30/08/2022,19:07,Billetera digital,7.4
106-42-8141,A,San Isidro,Normal,Masculino,Comidas y bebidas,76.89,5,384.45,69.2,453.65,23/09/2023,21:51,Efectivo,8.4
106-47-8297,A,San Borja,Normal,Masculino,Deportes y viajes,74,8,592,106.56,698.56,13/12/2023,20:48,Billetera digital,5.2
106-51-8383,B,Surco,Normal,Femenino,Hogar y estilo de vida,33.16,1,33.16,5.97,39.13,11/01/2022,15:41,Efectivo,9
106-58-5274,D,Miraflores,Miembro,Femenino,Hogar y estilo de vida,64.6,10,646,116.28,762.28,26/12/2021,20:55,Efectivo,6
106-59-6124,A,San Borja,Normal,Femenino,Comidas y bebidas,87.66,3,262.98,47.34,310.32,16/12/2023,11:42,Billetera digital,8.2
106-62-6575,D,Surco,Miembro,Femenino,Hogar y estilo de vida,83.99,7,587.93,105.83,693.76,2/11/2023,15:07,Tarjeta bancaria,6.4
106-66-1321,A,Miraflores,Normal,Masculino,Deportes y viajes,63.72,9,573.48,103.23,676.71,1/08/2023,12:03,Tarjeta bancaria,4.9
106-71-8784,B,Surquillo,Normal,Femenino,Ropa y calzados,62.63,9,563.67,101.46,665.13,1/10/2021,22:43,Tarjeta bancaria,4.4
106-83-6046,B,Surquillo,Normal,Masculino,Juguetes y arte,42.43,8,339.44,61.1,400.54,2/10/2021,19:13,Billetera digital,4.1
106-86-6505,B,San Borja,Normal,Masculino,Accesorios de moda,24.11,1,24.11,4.34,28.45,29/05/2023,09:15,Billetera digital,4.1
106-86-7933,A,San Borja,Miembro,Femenino,Salud y belleza,27.89,6,167.34,30.12,197.46,1/11/2022,08:28,Billetera digital,8.1
106-96-7462,A,San Isidro,Miembro,Masculino,Comidas y bebidas,74.92,8,599.36,107.88,707.24,21/12/2022,17:20,Efectivo,8.8
